I0,I1,I2,I3,I4,I5
5001,6573,6997,1327,-1323,-4
5027,5752,6972,1154,-1213,59
5361,5173,6826,1003,-1012,9
6141,5232,6766,669,-766,97
6668,5329,6387,232,-555,323
6998,5001,5789,-639,-27,666
7001,4997,5578,-1474,826,648
6990,5180,5009,-1461,1021,440
7079,5982,4919,-1148,930,218
6866,6794,5132,-746,648,98
5952,6836,5162,-354,398,-44
5205,6794,5668,497,129,-626
5067,6931,5833,1108,-198,-910
5028,6971,6277,1048,-406,-642
5128,6754,6870,647,-322,-325
5157,6061,6843,114,-157,43
5446,5395,6603,-517,27,490
5935,5250,6747,-748,70,678
6471,5195,6804,-674,171,503
6888,5109,6708,-673,608,65
7028,4971,6148,-624,758,-134
7000,4997,5479,-595,781,-186
6920,5439,5078,-487,841,-354
6712,6176,5286,-28,780,-752
6062,6476,5522,543,697,-1240
5686,6540,5458,930,530,-1460
5392,6879,5119,1096,-375,-721
5138,6860,5313,1166,-1489,323
4938,7060,5813,1027,-1460,433
4881,7117,6551,1163,-1519,356
4925,6522,7073,1043,-1436,393
4989,5600,7010,708,-1010,302
5625,5158,6841,668,-837,169
6400,5349,6649,395,-804,409
6764,5235,5980,-177,-599,776
6906,5093,5764,-1280,16,1264
6955,5043,5615,-1570,670,900
6966,5237,5032,-1428,984,444
7030,6028,4968,-1168,924,244
6831,6733,5168,-805,680,125
6032,6809,5190,-517,699,-182
5352,6647,5615,-35,754,-719
5139,6860,6330,522,668,-1190
5157,6843,6605,1214,354,-1568
5103,6735,6896,1238,165,-1403
5023,6336,6976,952,-233,-719
5115,5666,6884,677,-917,240
5647,5233,6766,818,-1236,418
6288,5381,6617,638,-1159,521
6627,5371,6206,301,-802,501
6853,5145,5493,-593,-353,946
6954,5044,5687,-1477,410,1067
6911,5150,5087,-1510,1073,437
7073,5922,4925,-1387,1170,217
6927,6711,5072,-983,867,116
6103,6904,5094,-742,754,-12
5302,6696,5483,-119,470,-351
5167,6832,6368,481,608,-1089
5177,6821,6716,1111,500,-1611
5093,6636,6906,1289,295,-1584
4992,6260,7007,1025,-2,-1023
5104,5750,6895,722,-696,-26
5603,5235,6763,860,-1168,308
6235,5369,6629,631,-1059,428
6614,5385,6312,372,-761,389
6902,5097,5609,-515,-208,723
6984,5014,5686,-1427,777,650
6949,5169,5049,-1520,1160,360
7053,5910,4946,-1148,1003,145
6905,6676,5093,-757,731,26
6144,6848,5150,-557,635,-78
5357,6641,5564,-51,568,-517
5155,6843,6300,507,638,-1145
5151,6848,6629,1117,440,-1557
5097,6689,6901,1181,282,-1463
4991,6283,7007,911,10,-921
5105,5809,6893,664,-641,-23
5570,5243,6756,873,-1139,266
6198,5376,6623,653,-987,334
6616,5383,6315,313,-616,303
6946,5053,5892,-701,90,611
6982,5017,5693,-1454,1047,407
6952,5096,5047,-1504,1209,295
7065,5845,4934,-1236,1038,198
6925,6656,5074,-750,740,10
6148,6865,5134,-549,670,-121
5344,6655,5559,-49,570,-521
5187,6813,6285,446,796,-1242
5176,6822,6678,1003,643,-1646
5064,6595,6934,1184,509,-1693
4943,6139,7054,942,430,-1372
5084,5802,6915,619,-220,-399
5554,5254,6744,1073,-1584,511
6268,5356,6643,950,-1506,556
6520,5479,6302,748,-1185,437
6603,5397,5829,280,-659,379
6817,5182,5431,-864,-33,897
6823,5175,5397,-1523,811,712
6960,5563,5039,-1411,1009,402
7070,6266,4929,-1403,873,530
6744,6927,5071,-1282,670,612
5769,6961,5038,-730,496,234
5072,6926,5437,-92,72,20
5066,6931,6422,247,129,-376
5039,6402,6959,429,553,-982
5134,5975,6865,83,991,-1074
5316,5439,6683,-554,793,-239
5699,5182,6817,-642,507,135
6192,5185,6814,-393,220,173
6613,5213,6785,-79,98,-19
6917,5082,6487,-11,362,-351
7035,4963,5733,-268,787,-519
7003,5112,4997,-1212,1233,-21
7053,5944,4945,-1153,1127,26
6863,6695,5136,-723,795,-72
6087,6803,5195,-530,784,-254
5381,6617,5677,-3,784,-781
5216,6783,6328,558,839,-1397
5231,6768,6610,1132,602,-1734
5180,6791,6818,1246,324,-1570
5047,6662,6952,1188,-355,-833
5042,5827,6956,983,-1108,125
5397,5217,6782,985,-1167,182
6139,5290,6708,729,-998,269
6607,5392,6437,404,-766,362
6893,5105,5694,-380,-249,629
7010,4989,5741,-1467,642,825
6921,5076,5077,-1599,1160,439
7100,5828,4899,-1448,1162,286
6970,6658,5028,-991,805,186
6182,6915,5084,-565,525,40
5219,6780,5351,134,112,-246
5063,6935,5913,873,-112,-761
5052,6946,6389,1009,-217,-792
5105,6626,6894,700,-57,-643
5094,5942,6906,233,164,-397
5405,5363,6636,-443,238,205
5915,5299,6699,-715,67,648
6438,5344,6655,-609,-150,759
6792,5206,6533,-636,89,547
7019,4979,6272,-694,682,12
7088,4911,5596,-942,1123,-181
6974,5266,5025,-1128,1330,-202
6988,6086,5009,-729,1083,-354
6642,6754,5244,-545,888,-343
5892,6663,5336,-463,979,-516
5341,6658,5637,-92,817,-725
5146,6852,6326,705,394,-1099
5023,6975,6221,1361,-251,-1110
5041,6957,6804,1412,-961,-451
5001,6253,6997,1071,-997,-74
5099,5535,6900,613,-755,142
5712,5222,6776,609,-789,180
6459,5423,6576,272,-797,525
6772,5226,5902,-375,-571,946
6926,5071,5955,-1410,179,1202
6965,5034,5572,-1594,992,602
6984,5188,5014,-1502,1160,342
7040,6078,4958,-1122,988,134
6851,6748,5148,-859,780,79
6025,6799,5200,-475,549,-74
5290,6709,5721,214,549,-763
5093,6906,5998,1020,219,-1239
4988,7010,6151,1430,-556,-874
5070,6928,6775,1183,-795,-388
5000,6205,6998,750,-804,54
5130,5559,6868,477,-694,217
5924,5315,6684,211,-772,561
6569,5430,6402,-250,-878,1128
6717,5281,5972,-1046,-511,1557
6867,5131,6097,-1413,78,1335
6980,5019,5808,-1354,897,457
6948,5089,5051,-1337,1321,16
7071,5913,4928,-1313,1335,-22
6904,6726,5094,-985,988,-3
6088,6880,5119,-745,837,-92
5350,6649,5476,-247,634,-387
5227,6771,6221,168,800,-968
5183,6815,6798,875,603,-1478
5041,6541,6957,1274,406,-1680
4948,6210,7050,1168,132,-1300
5104,5775,6896,855,-608,-247
5630,5206,6794,948,-1227,279
6277,5344,6654,682,-1045,363
6608,5390,6283,418,-756,338
6902,5096,5593,-574,-155,729
6959,5039,5647,-1432,740,692
6957,5257,5042,-1496,1096,400
7070,5923,4928,-1265,1008,257
6924,6690,5075,-863,709,154
6158,6882,5116,-611,594,17
5320,6679,5465,-83,454,-371
5137,6861,6365,542,574,-1116
5170,6828,6740,1064,485,-1549
5053,6531,6946,1048,494,-1542
4941,6024,7057,711,492,-1203
5120,5673,6880,527,-184,-343
5620,5296,6702,888,-1353,465
6228,5415,6585,873,-1399,526
6546,5453,6355,596,-927,331
6822,5177,5793,-251,-153,404
6940,5058,5737,-1344,836,508
6875,5146,5124,-1586,1264,322
7100,5684,4898,-1508,1154,354
7028,6487,4972,-1194,812,382
6290,6962,5037,-842,649,193
5448,6811,5187,-389,492,-103
5191,6808,6201,127,515,-642
5189,6808,6685,233,908,-1141
4994,6460,7004,595,819,-1414
4961,5928,7038,545,788,-1333
5191,5379,6808,70,451,-521
5667,5432,6567,132,-752,620
6151,5391,6608,782,-1556,774
6495,5503,6346,847,-1278,431
6583,5415,5870,294,-521,227
6861,5137,5606,-751,195,556
6823,5175,5423,-1537,1089,448
6956,5486,5043,-1423,1109,314
7092,6172,4906,-1430,946,484
6763,6936,5062,-1306,706,600
5770,6993,5006,-684,442,242
5031,6967,5408,-13,-61,74
5016,6982,6319,343,-38,-305
5059,6487,6940,583,360,-943
5104,6001,6895,222,966,-1188
5333,5432,6666,-565,808,-243
5666,5210,6788,-713,562,151
6239,5197,6801,-487,272,215
6658,5231,6767,-224,117,107
6877,5122,6502,-31,235,-204
6989,5009,5960,-27,557,-530
6988,5066,5011,-803,1055,-252
7035,5876,4963,-1125,1090,35
6885,6669,5114,-726,732,-6
6275,6854,5144,-652,693,-41
5421,6627,5371,-258,565,-307
5221,6776,6171,296,672,-968
5177,6822,6673,1041,545,-1586
5119,6775,6879,1258,371,-1629
4987,6527,7011,1219,-258,-961
5038,5708,6961,925,-1064,139
5485,5173,6826,957,-1211,254
6303,5310,6689,624,-999,375
6621,5378,6287,425,-861,436
